Subject,Investment_Amount,Multiplier,Prop_Returned,Returned,Second_Order_Expectation,Fairness,Soc1,Soc2,Trial
130,9,4,0.5,18,18,17.0,17.0,17.0,9_4
130,5,6,0.3,9,8,13.0,12.0,8.0,5_6
130,10,4,0.5,20,20,20.0,20.0,20.0,10_4
130,2,4,0.5,4,2,1.0,1.0,1.0,2_4
130,4,6,0.291666667,7,5,9.0,8.0,5.0,4_6
130,3,6,0.388888889,7,3,5.0,3.0,3.0,3_6
130,4,4,0.5,8,5,5.0,5.0,5.0,4_4
130,2,4,0.5,4,2,1.0,1.0,1.0,2_4__2
130,10,6,0.4,24,20,30.0,30.0,20.0,10_6
130,6,2,0.5,6,10,4.0,4.0,4.0,6_2
130,3,4,0.5,6,3,3.0,3.0,3.0,3_4__2
130,2,2,0.5,2,2,1.0,0.0,1.0,2_2__2
130,5,6,0.4,12,8,13.0,12.0,8.0,5_6__2
130,4,4,0.5,8,5,5.0,5.0,5.0,4_4__2
130,3,4,0.416666667,5,3,3.0,3.0,3.0,3_4__3
130,6,4,0.416666667,10,10,10.0,10.0,10.0,6_4
130,3,2,0.166666667,1,3,2.0,1.0,1.0,3_2
130,6,6,0.194444444,7,10,16.0,16.0,10.0,6_6
130,10,2,0.5,10,20,10.0,10.0,10.0,10_2
130,5,2,0.4,4,8,3.0,2.0,2.0,5_2
130,1,4,0,0,1,0.0,1.0,0.0,1_4
130,5,4,0.4,8,8,8.0,7.0,7.0,5_4__3
130,5,4,0.4,8,8,8.0,7.0,7.0,5_4__4
130,10,4,0.5,20,20,20.0,20.0,20.0,10_4__2
130,4,4,0.375,6,5,5.0,5.0,5.0,4_4__3
130,5,6,0.3,9,8,13.0,12.0,8.0,5_6__3
130,5,4,0.3,6,8,8.0,7.0,7.0,5_4__5
130,5,2,0.3,3,8,3.0,2.0,2.0,5_2__2
130,3,4,0.333333333,4,3,3.0,3.0,3.0,3_4__4
130,9,4,0.5,18,18,17.0,17.0,17.0,9_4__2
130,2,4,0,0,2,1.0,1.0,1.0,2_4__3
130,6,2,0.333333333,4,10,4.0,4.0,4.0,6_2__2
130,1,6,0,0,1,1.0,0.0,0.0,1_6
130,10,2,0.5,10,20,10.0,10.0,10.0,10_2__2
130,6,4,0.291666667,7,10,10.0,10.0,10.0,6_4__2
130,9,4,0.5,18,18,17.0,17.0,17.0,9_4__3
130,7,6,0.30952381,13,13,18.0,17.0,13.0,7_6
130,7,4,0.392857143,11,13,12.0,12.0,12.0,7_4
130,5,2,0.3,3,8,3.0,2.0,2.0,5_2__3
130,4,4,0.3125,5,5,5.0,5.0,5.0,4_4__4
130,3,6,0.222222222,4,3,5.0,3.0,3.0,3_6__2
130,4,6,0.291666667,7,5,9.0,8.0,5.0,4_6__2
130,3,2,0,0,3,2.0,1.0,1.0,3_2__2
130,5,4,0.3,6,8,8.0,7.0,7.0,5_4__6
130,8,6,0.291666667,14,15,22.0,22.0,15.0,8_6
